Fid, TFA_D, SFA_D, PMOO_D, TMA_D
466, null, null,null,371.96033097423526
529, null, null,null,375.1133816251887
259, null, null,null,371.8125480813646
191, null, null,null,4.740950226244342
1272, null, null,null,260.4321168912769
1453, null, null,null,14.702970297029704
871, null, null,null,185.8452022327093
1398, null, null,null,84.04023814646916
460, null, null,null,192.08707335998125
1394, null, null,null,206.43410775847354
214, null, null,null,357.6591641161062
1217, null, null,null,342.8671893910097
196, null, null,null,221.6180538110435
774, null, null,null,327.71635914795604
137, null, null,null,134.45689017689403
1129, null, null,null,298.8228585625602
1336, null, null,null,264.37720549047174
519, null, null,null,326.42311540852097
1162, null, null,null,428.97956096519016
99, null, null,null,139.6734942197578
347, null, null,null,18.357650768418097
1138, null, null,null,251.6174938364618
805, null, null,null,310.2540857507887
560, null, null,null,264.18745400540195
536, null, null,null,303.778369073283
264, null, null,null,30.414975355513832
561, null, null,null,511.0564108791124
74, null, null,null,249.63699609642768
719, null, null,null,199.44842302003195
1360, null, null,null,46.736776531097796
305, null, null,null,302.9972083437699
1152, null, null,null,256.96664989740634
405, null, null,null,334.8469156633512
409, null, null,null,256.1994830019557
937, null, null,null,11.49107142857142
1135, null, null,null,118.37343290015973
1285, null, null,null,188.14137483253245
535, null, null,null,212.8159629541288
819, null, null,null,200.5492221251117
1280, null, null,null,49.621160725703355
1440, null, null,null,85.41757864560029
41, null, null,null,234.55431793639724
287, null, null,null,402.15000668964484
1320, null, null,null,305.74492054342744
556, null, null,null,293.10808428975025
1326, null, null,null,301.5282951665452
77, null, null,null,183.51979512935543
1207, null, null,null,29.435948840278122
1179, null, null,null,290.8590362164061
1443, null, null,null,167.8469443847865
739, null, null,null,123.9831769688295
318, null, null,null,293.10808428975025
967, null, null,null,9.082568807339449
716, null, null,null,456.4527077636167
697, null, null,null,365.321623793387
622, null, null,null,568.9266529766315
1409, null, null,null,246.3919188034736
479, null, null,null,313.92986178563683
654, null, null,null,171.1188279611733
217, null, null,null,429.86415659215857
300, null, null,null,174.42490609730757
802, null, null,null,548.6801360140564
1404, null, null,null,280.37113954334797
987, null, null,null,189.8052620179911
1044, null, null,null,323.97218548108833
1341, null, null,null,257.7098443401025
249, null, null,null,147.2322236208485
1333, null, null,null,99.95272907240846
1402, null, null,null,157.9548432172855
60, null, null,null,416.20159444959745
1137, null, null,null,432.57035819818555
492, null, null,null,307.93098907480385
596, null, null,null,203.54825240747604
493, null, null,null,207.73160129817822
451, null, null,null,255.23542608806204
381, null, null,null,29.344286781179996
296, null, null,null,296.9840658317385
730, null, null,null,315.55707076070615
686, null, null,null,193.81629960625492
862, null, null,null,263.1037023923808
1447, null, null,null,461.0541857479373
22, null, null,null,223.49458196131667
1342, null, null,null,132.30483244730797
816, null, null,null,285.568942865978
398, null, null,null,102.52196838115701
691, null, null,null,343.60036299475695
690, null, null,null,99.11094222599446
1318, null, null,null,193.59315693114857
9, null, null,null,199.14323991088852
222, null, null,null,242.0737164309954
1251, null, null,null,201.23018843484638
921, null, null,null,276.2941015191003
958, null, null,null,155.70498838489763
1008, null, null,null,29.85601045341828
694, null, null,null,291.50741902266515
692, null, null,null,177.67342460085
1052, null, null,null,139.5318293490653
587, null, null,null,304.31905768198334
143, null, null,null,369.13207508799286
882, null, null,null,148.8672540837668
383, null, null,null,42.64827140240492
1349, null, null,null,112.60545656734628
960, null, null,null,263.6093535350468
55, null, null,null,382.357694775126
963, null, null,null,151.29876715362448
1368, null, null,null,125.50574102281722
804, null, null,null,260.0407061488808
559, null, null,null,128.824171468579
733, null, null,null,198.4357404259983
997, null, null,null,327.71635914795604
618, null, null,null,243.33554118932932
955, null, null,null,200.7886113739145
1323, null, null,null,366.1521934852365
1001, null, null,null,214.27600828399747
649, null, null,null,296.40189960035184
1113, null, null,null,146.6498984630896
21, null, null,null,206.5388051359495
1153, null, null,null,244.78521415284877
25, null, null,null,184.0688447945674
314, null, null,null,184.05880063634493
1351, null, null,null,186.95309543340036
1377, null, null,null,247.8742318970125
677, null, null,null,549.0875752373817
695, null, null,null,159.57522251452988
1167, null, null,null,212.65919649308066
1212, null, null,null,402.0135154466158
1361, null, null,null,307.8107928963889
237, null, null,null,235.50171202864627
256, null, null,null,379.90333468016183
1200, null, null,null,222.55643763658043
8, null, null,null,295.38719082391765
611, null, null,null,149.01871641540725
377, null, null,null,358.0141162015168
240, null, null,null,151.0698980798222
1365, null, null,null,257.7226913577996
1369, null, null,null,58.451911632969264
444, null, null,null,11.02071823248825
922, null, null,null,508.8065838760224
373, null, null,null,111.89893913391802
342, null, null,null,275.5845020011108
477, null, null,null,164.3267199828007
